"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","week","year"
"Michael Dickson",35381,"P","SEA",1,5,5,4.17,41.8,45.2,8.5,0,0,0,3,29,61.6,4,59,0,0,40,17,2,5,20.87,209,0,226,8,2021
"Blake Gillikin",45045,"P","NO",1,3,3,4.51,48,52.67,4.7,0,0,0,0,20,60.3,1,63,0,0,100,14,3,3,13.53,144,0,158,8,2021
"Pressley Harvin III",62973,"P","PIT",1,4,4,4.29,43.75,44,0.5,0,0,0,1,25,57.9,1,56,1,0,50,1,2,4,17.16,175,0,176,8,2021
"Jamie Gillan",63303,"P","CLV",1,4,4,4.5,42,49.25,14.5,0,0,1,0,8,61.1,1,56,1,0,50,29,2,4,17.98,168,0,197,8,2021
"Arryn Siposs",82019,"P","PHI",1,1,1,4.83,36,47,11,0,0,0,0,24,60,0,47,0,0,100,11,1,1,4.83,36,0,47,8,2021
"Andy Lee",1906,"P","ARZ",1,4,4,4.38,38.25,51.75,11.3,0,0,0,0,1,54.5,1,53,0,0,75,34,3,4,17.52,153,1,207,9,2021
"Dustin Colquitt",2316,"P","ATL",1,5,5,4.22,34.8,44.8,16.7,0,0,0,1,2,59.2,1,52,1,0,60,50,3,5,21.09,174,0,224,9,2021
"Sam Koch",3148,"P","BLT",1,3,3,4.32,41.67,41.67,,0,0,1,0,3,63,1,51,2,0,0,0,0,3,12.97,125,0,125,9,2021
"Brett Kern",4580,"P","TEN",1,5,5,4.08,42,43.4,7,0,0,1,2,31,57.3,3,57,1,0,20,7,1,5,20.38,210,0,217,9,2021
"Kevin Huber",5066,"P","CIN",1,3,3,3.84,39.33,40.67,2,0,0,0,0,7,56.7,1,44,1,0,66.7,4,2,3,11.51,118,0,122,9,2021
"Thomas Morstead",5088,"P","NYJ",1,3,3,4.38,48.67,52,10,0,0,1,1,22,65.5,1,57,0,0,33.3,10,1,3,13.14,146,0,156,9,2021
"Bryan Anger",7072,"P","DAL",1,4,4,4.65,38.25,48.5,1,0,0,0,1,9,62,1,55,0,0,25,1,1,4,18.61,153,2,194,9,2021
