p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent,week,year,plyr_number
justinherbert_lac_2022_7,lac_2022_7,justinherbert_lac_2022,lac_2022,justinherbert,28237,qb,lac,1,17,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
russellwilson_den_2022_7,den_2022_7,russellwilson_den_2022,den_2022,russellwilson,7077,qb,den,1,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
lamarjackson_bal_2022_7,bal_2022_7,lamarjackson_bal_2022,bal_2022,lamarjackson,46416,qb,bal,1,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jaredgoff_det_2022_7,det_2022_7,jaredgoff_det_2022,det_2022,jaredgoff,10635,qb,det,1,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
genosmith_sea_2022_7,sea_2022_7,genosmith_sea_2022,sea_2022,genosmith,7820,qb,sea,1,11,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ryantannehill_ten_2022_7,ten_2022_7,ryantannehill_ten_2022,ten_2022,ryantannehill,7014,qb,ten,1,11,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jimmygaroppolo_sf_2022_7,sf_2022_7,jimmygaroppolo_sf_2022,sf_2022,jimmygaroppolo,8697,qb,sf,1,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
patrickmahomes_kc_2022_7,kc_2022_7,patrickmahomes_kc_2022,kc_2022,patrickmahomes,11765,qb,kc,1,11,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
kirkcousins_min_2022_7,min_2022_7,kirkcousins_min_2022,min_2022,kirkcousins,7102,qb,min,1,11,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
derekcarr_lv_2022_7,lv_2022_7,derekcarr_lv_2022,lv_2022,derekcarr,8671,qb,lv,1,10,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
