home_matchup_id,away_matchup_id,team_id,schedule_season,schedule_week,team_home_abb,score_home,score_away,away_team_abb,team_favorite_id,spread_favorite,over_under_line,starting_spread,Total Score Open,fav_team_open,fav_team_cur,remain_fav,spread_movement,ou_movement,strong_movement,fav_team_stronger,fav_spread,team_notfav_id,fav_cover,over_under_result,precip,dome,temperature,wind_mph,team_abb,homeoraway,fav_homeoraway,ats_w,ats_l
minvsten_2020_3,ten@min_2020_3,min_2020_3,2020,3,min,30.0,31.0,ten,ten,-2.5,50.0,-1.5,45.5,tennessee titans,tennessee titans,1,-1.0,4.5,0,1,-2.5,min,no cover,over,0,1,70,0,min,1,1,1,0
minvsatl_2020_6,atl@min_2020_6,min_2020_6,2020,6,min,23.0,40.0,atl,min,-4.0,54.0,-3.5,56.0,minnesota vikings,minnesota vikings,1,-0.5,-2.0,0,1,-4.0,atl,no cover,over,0,1,70,0,min,1,0,0,1
minvsdet_2020_9,det@min_2020_9,min_2020_9,2020,9,min,34.0,20.0,det,min,-4.0,52.0,-4.0,53.5,minnesota vikings,minnesota vikings,1,0.0,-1.5,0,0,-4.0,det,cover,over,0,1,70,0,min,1,0,1,0
minvsdal_2020_11,dal@min_2020_11,min_2020_11,2020,11,min,28.0,31.0,dal,min,-7.0,48.5,-7.0,48.0,minnesota vikings,minnesota vikings,1,0.0,0.5,0,0,-7.0,dal,no cover,over,0,1,70,0,min,1,0,0,1
minvscar_2020_12,car@min_2020_12,min_2020_12,2020,12,min,28.0,27.0,car,min,-3.0,50.0,-4.5,48.5,minnesota vikings,minnesota vikings,1,1.5,1.5,0,0,-3.0,car,no cover,over,0,1,70,0,min,1,0,0,1
minvsjax_2020_13,jax@min_2020_13,min_2020_13,2020,13,min,27.0,24.0,jax,min,-10.0,51.5,-9.0,51.5,minnesota vikings,minnesota vikings,1,-1.0,0.0,0,1,-10.0,jax,no cover,under,0,1,70,0,min,1,0,0,1
minvschi_2020_15,chi@min_2020_15,min_2020_15,2020,15,min,27.0,33.0,chi,min,-3.0,47.0,-3.0,46.0,minnesota vikings,minnesota vikings,1,0.0,1.0,0,0,-3.0,chi,no cover,over,0,1,70,0,min,1,0,0,1
minvssea_2021_3,sea@min_2021_3,min_2021_3,2021,3,min,30.0,17.0,sea,sea,-2.0,54.0,-1.0,55.5,seattle seahawks,seattle seahawks,1,-1.0,-1.5,0,1,-2.0,min,no cover,under,0,1,70,0,min,1,1,1,0
minvscle_2021_4,cle@min_2021_4,min_2021_4,2021,4,min,7.0,14.0,cle,cle,-1.0,52.0,-1.0,52.5,cleveland browns,cleveland browns,1,0.0,-0.5,0,0,-1.0,min,cover,under,0,1,70,0,min,1,1,0,1
minvsdet_2021_5,det@min_2021_5,min_2021_5,2021,5,min,19.0,17.0,det,min,-10.0,49.5,-8.0,49.0,minnesota vikings,minnesota vikings,1,-2.0,0.5,0,1,-10.0,det,no cover,under,0,1,70,0,min,1,0,0,1
minvsdal_2021_8,dal@min_2021_8,min_2021_8,2021,8,min,16.0,20.0,dal,min,-4.0,49.0,-1.0,53.0,dallas cowboys,minnesota vikings,0,5.0,-4.0,1,0,-4.0,dal,no cover,under,0,1,70,0,min,1,0,0,1
minvsgb_2021_11,gb@min_2021_11,min_2021_11,2021,11,min,34.0,31.0,gb,gb,-1.0,47.0,-2.5,49.5,green bay packers,green bay packers,1,1.5,-2.5,0,0,-1.0,min,no cover,over,0,1,70,0,min,1,1,1,0
minvspit_2021_14,pit@min_2021_14,min_2021_14,2021,14,min,36.0,28.0,pit,min,-3.5,45.0,-3.5,45.0,minnesota vikings,minnesota vikings,1,0.0,0.0,0,0,-3.5,pit,cover,over,0,1,70,0,min,1,0,1,0
minvslar_2021_16,lar@min_2021_16,min_2021_16,2021,16,min,23.0,30.0,lar,lar,-3.0,48.5,-3.0,49.5,los angeles rams,los angeles rams,1,0.0,-1.0,0,0,-3.0,min,cover,over,0,1,70,0,min,1,1,0,1
minvschi_2021_18,chi@min_2021_18,min_2021_18,2021,18,min,31.0,17.0,chi,min,-3.5,44.5,-3.5,44.5,minnesota vikings,minnesota vikings,1,0.0,0.0,0,0,-3.5,chi,cover,over,0,1,70,0,min,1,0,1,0
minvsgb_2022_1,gb@min_2022_1,min_2022_1,2022,1,min,23.0,7.0,gb,min,-2.0,46.5,-1.5,49.0,green bay packers,minnesota vikings,0,3.5,-2.5,1,0,-2.0,gb,cover,under,0,1,70,0,min,1,0,1,0
minvsdet_2022_3,det@min_2022_3,min_2022_3,2022,3,min,28.0,24.0,det,min,-6.5,51.5,-7.5,50.0,minnesota vikings,minnesota vikings,1,1.0,1.5,0,0,-6.5,det,no cover,over,0,1,70,0,min,1,0,0,1
nevsoak_2014_3,oak@ne_2014_3,ne_2014_3,2014,3,ne,16.0,9.0,oak,ne,-14.0,47.5,-14.0,46.5,new england patriots,new england patriots,1,0.0,1.0,0,0,-14.0,oak,no cover,under,1,0,78,7,ne,1,0,0,1
nevscin_2014_5,cin@ne_2014_5,ne_2014_5,2014,5,ne,43.0,17.0,cin,cin,-2.5,46.0,0.0,46.0,cincinnati bengals,cincinnati bengals,1,-2.5,0.0,0,1,-2.5,ne,no cover,over,0,0,35,0,ne,1,1,1,0
nevsnyj_2014_7,nyj@ne_2014_7,ne_2014_7,2014,7,ne,27.0,25.0,nyj,ne,-9.5,44.5,-10.0,46.0,new england patriots,new england patriots,1,0.5,-1.5,0,0,-9.5,nyj,no cover,over,0,0,63,5,ne,1,0,0,1
