unique_id,name,team,year,position,height,wt,speed,draft_yr,round,selection
lonniejohnsonjr_hou_2021,lonniejohnsonjr,hou,2021,s,74,213,,2019,2,54
amikrobertson_lv_2021,amikrobertson,lv,2021,cb,68,187,,2020,4,139
genostone_bal_2021,genostone,bal,2021,s,71,209,,2020,7,219
kemonhall_lac_2021,kemonhall,lac,2021,cb,71,190,,2019,10,300
keithtaylor_car_2021,keithtaylor,car,2021,cb,75,195,,2021,5,167
paytonturner_no_2021,paytonturner,no,2021,ed,78,270,,2021,1,28
javonkinlaw_sf_2021,javonkinlaw,sf,2021,di,77,319,,2020,1,14
taquongraham_atl_2021,taquongraham,atl,2021,di,76,294,,2021,5,149
grantdelpit_cle_2021,grantdelpit,cle,2021,s,75,208,,2020,2,44
tyreegillespie_lv_2021,tyreegillespie,lv,2021,s,72,207,,2021,4,144
garretwallow_hou_2021,garretwallow,hou,2021,lb,74,230,,2021,5,171
tavierrethomas_hou_2021,tavierrethomas,hou,2021,cb,70,205,,2018,10,300
cadensterns_den_2021,cadensterns,den,2021,s,73,207,,2021,5,153
azurkamara_dal_2021,azurkamara,dal,2021,ed,76,235,,2020,10,300
ardariuswashington_bal_2021,ardariuswashington,bal,2021,cb,68,178,,2021,10,300
ernestjones_lar_2021,ernestjones,lar,2021,lb,74,230,,2021,3,104
daviontaylor_phi_2021,daviontaylor,phi,2021,lb,74,225,,2020,3,103
