,unique_id,name,team,year,position,height,wt,speed,draft_yr,round,selection
490,folorunsofatukasi_jax_2021,folorunsofatukasi,jax,2021,di,76,318,5.29,2018,6,180
491,tershawnwharton_kc_2021,tershawnwharton,kc,2021,di,73,280,,2020,10,300
492,ljariussneed_kc_2021,ljariussneed,kc,2021,cb,73,192,,2020,4,138
493,alohigilman_lac_2021,alohigilman,lac,2021,s,70,201,,2020,6,186
494,trevondiggs_dal_2021,trevondiggs,dal,2021,cb,74,195,,2020,2,51
495,edoliver_buf_2021,edoliver,buf,2021,di,73,287,,2019,1,9
496,divinedeablo_lv_2021,divinedeablo,lv,2021,lb,75,226,,2021,3,81
497,brycehall_nyj_2021,brycehall,nyj,2021,cb,73,202,,2020,5,158
498,isaiahsimmons_ari_2021,isaiahsimmons,ari,2021,lb,76,238,,2020,1,8
499,kvonwallace_phi_2021,kvonwallace,phi,2021,s,71,205,,2020,4,127
500,camerondantzler_min_2021,camerondantzler,min,2021,cb,74,185,,2020,3,89
501,antoinewinfieldjr_tb_2021,antoinewinfieldjr,tb,2021,s,70,205,,2020,2,45
502,tomonfox_nyg_2021,tomonfox,nyg,2021,ed,75,260,,2022,10,300
503,rashadweaver_ten_2021,rashadweaver,ten,2021,ed,76,259,,2021,4,136
