away_matchup_id,precip,dome,temperature,wind_mph
min@phi_2016_7,0,0,61,10
cle@cin_2016_7,0,0,66,6
was@det_2016_7,0,1,70,0
oak@jax_2016_7,0,0,72,5
buf@mia_2016_7,0,0,80,10
bal@nyj_2016_7,1,0,58,11
tb@sf_2016_7,0,0,69,2
lac@atl_2016_7,0,1,70,0
ne@pit_2016_7,0,0,63,6
sea@ari_2016_7,0,1,70,0
hou@den_2016_7,0,0,66,2
jax@ten_2016_8,0,0,66,4
was@cin_2016_8,0,0,52,3
kc@ind_2016_8,0,1,70,0
oak@tb_2016_8,0,0,84,10
sea@no_2016_8,0,1,70,0
det@hou_2016_8,0,0,80,3
nyj@cle_2016_8,1,0,54,9
ne@buf_2016_8,1,0,50,2
lac@den_2016_8,0,0,75,3
gb@atl_2016_8,0,1,70,0
ari@car_2016_8,0,0,80,4
phi@dal_2016_8,0,0,78,3
min@chi_2016_8,1,0,57,3
atl@tb_2016_9,0,0,75,2
det@min_2016_9,0,1,70,0
phi@nyg_2016_9,0,0,57,8
nyj@mia_2016_9,0,0,79,11
jax@kc_2016_9,0,0,60,6
dal@cle_2016_9,0,0,56,2
pit@bal_2016_9,0,0,63,10
no@sf_2016_9,0,0,68,1
car@lar_2016_9,0,0,72,3
ind@gb_2016_9,0,0,67,5
ten@lac_2016_9,0,0,74,3
den@oak_2016_9,0,0,67,3
buf@sea_2016_9,1,0,60,0
cle@bal_2016_10,0,0,52,1
hou@jax_2016_10,0,0,71,6
den@no_2016_10,0,1,70,0
lar@nyj_2016_10,0,0,55,4
atl@phi_2016_10,0,0,54,6
kc@car_2016_10,1,0,48,4
chi@tb_2016_10,0,0,77,2
min@was_2016_10,0,0,55,4
gb@ten_2016_10,0,0,55,0
mia@lac_2016_10,0,0,84,3
sf@ari_2016_10,0,1,70,0
dal@pit_2016_10,0,0,54,2
sea@ne_2016_10,0,0,45,2
cin@nyg_2016_10,1,0,54,1
no@car_2016_11,0,0,57,2
pit@cle_2016_11,1,0,35,16
bal@dal_2016_11,0,0,53,7
jax@det_2016_11,0,1,70,0
ten@ind_2016_11,0,1,70,0
buf@cin_2016_11,0,0,37,7
tb@kc_2016_11,0,0,43,8
chi@nyg_2016_11,1,0,40,12
ari@min_2016_11,0,1,70,0
mia@lar_2016_11,1,0,63,4
ne@sf_2016_11,1,0,61,1
phi@sea_2016_11,1,0,51,4
gb@was_2016_11,0,0,38,15
hou@oak_2016_11,1,0,62,0
min@det_2016_12,0,1,70,0
was@dal_2016_12,0,0,69,5
pit@ind_2016_12,0,1,70,0
ten@chi_2016_12,1,0,38,5
jax@buf_2016_12,0,0,38,6
cin@bal_2016_12,0,0,49,8
ari@atl_2016_12,0,1,70,0
nyg@cle_2016_12,0,0,46,10
lar@no_2016_12,0,1,70,0
sf@mia_2016_12,1,0,79,10
lac@hou_2016_12,0,0,67,9
sea@tb_2016_12,0,0,78,7
car@oak_2016_12,1,0,56,6
ne@nyj_2016_12,0,0,48,8
kc@den_2016_12,0,0,44,6
gb@phi_2016_12,0,0,47,4
dal@min_2016_13,0,1,70,0
kc@atl_2016_13,0,1,70,0
det@no_2016_13,0,1,70,0
lar@ne_2016_13,0,0,37,7
den@jax_2016_13,0,0,75,3
hou@gb_2016_13,1,0,31,4
phi@cin_2016_13,1,0,41,3
mia@bal_2016_13,1,0,45,3
sf@chi_2016_13,1,0,35,5
buf@oak_2016_13,0,0,55,2
nyg@pit_2016_13,1,0,40,2
was@ari_2016_13,0,1,70,0
tb@lac_2016_13,0,0,71,3
car@sea_2016_13,1,0,41,1
ind@nyj_2016_13,1,0,43,2
oak@kc_2016_14,0,0,23,4
pit@buf_2016_14,1,0,24,6
den@ten_2016_14,1,0,48,11
no@tb_2016_14,1,0,75,9
was@phi_2016_14,0,0,33,2
ari@mia_2016_14,1,0,75,15
lac@car_2016_14,0,0,42,2
cin@cle_2016_14,1,0,28,13
chi@det_2016_14,0,1,70,0
hou@ind_2016_14,0,1,70,0
min@jax_2016_14,1,0,66,1
nyj@sf_2016_14,0,0,53,3
atl@lar_2016_14,0,0,64,2
sea@gb_2016_14,1,0,27,2
dal@nyg_2016_14,0,0,30,2
bal@ne_2016_14,1,0,33,1
lar@sea_2016_15,0,0,35,3
mia@nyj_2016_15,1,0,34,3
gb@chi_2016_15,1,0,9,7
jax@hou_2016_15,0,0,37,11
cle@buf_2016_15,1,0,25,12
phi@bal_2016_15,1,0,58,6
ten@kc_2016_15,0,0,2,2
det@nyg_2016_15,1,0,48,4
ind@min_2016_15,0,1,70,0
pit@cin_2016_15,1,0,26,7
no@ari_2016_15,0,1,70,0
sf@atl_2016_15,0,1,70,0
ne@den_2016_15,0,0,27,3
oak@lac_2016_15,0,0,60,2
tb@dal_2016_15,0,0,26,7
car@was_2016_15,0,0,30,3
nyg@phi_2016_16,0,0,41,8
mia@buf_2016_16,1,0,35,7
tb@no_2016_16,0,1,70,0
nyj@ne_2016_16,1,0,40,4
