Player,Team,Pos,Injury,Status,Est. Return
Collin Johnson,NYG,WR,Achilles,IR,Subscribers Only
Darryl Johnson,SEA,LB,Ankle,IR,Subscribers Only
Jahmir Johnson,FA,OT,Undisclosed,Questionable,Subscribers Only
Jermaine Johnson,NYJ,DE,Ankle,Questionable,Subscribers Only
Josh Johnson,FA,RB,Undisclosed,Questionable,Subscribers Only
Lane Johnson,PHI,OT,Concussion,Questionable,Subscribers Only
Willie Johnson,JAX,WR,Undisclosed,IR,Subscribers Only
Brandon Jones,MIA,S,Knee,IR,Subscribers Only
Brett Jones,FA,C,Biceps,Questionable,Subscribers Only
Byron Jones,MIA,CB,Ankle,PUP-R,Subscribers Only
Caleb Jones,GB,OT,Illness,NFI-R,Subscribers Only
Chris Jones,FA,P,Abdomen,Questionable,Subscribers Only
Devin Jones,FA,CB,Undisclosed,Questionable,Subscribers Only
Jamarco Jones,TEN,OT,Elbow,IR,Subscribers Only
Joe Jones,TEN,LB,Knee,Questionable,Subscribers Only
Julio Jones,TB,WR,Knee,Questionable,Subscribers Only
Sidney Jones,SEA,CB,Groin,Questionable,Subscribers Only
Xavier Jones,FA,RB,Achilles,Questionable,Subscribers Only
Dion Jordan,FA,DE,Knee,Questionable,Subscribers Only
Karl Joseph,PIT,S,Ankle,IR,Subscribers Only
Michael Joseph,FA,CB,Undisclosed,Questionable,Subscribers Only
Kyle Juszczyk,SF,FB,Finger,Doubtful,Subscribers Only
Matt Kaskey,FA,OT,Foot,Questionable,Subscribers Only
Damontae Kazee,PIT,S,Arm,IR-R,Subscribers Only
Joshua Kelley,LAC,RB,Knee - MCL,IR,Subscribers Only
Silas Kelly,FA,LB,Undisclosed,Questionable,Subscribers Only
Ko Kieft,TB,TE,Ankle,Questionable,Subscribers Only
Brandon King,FA,LB,Hamstring,Questionable,Subscribers Only
Javon Kinlaw,SF,DT,Knee,IR,Subscribers Only
Dre Kirkpatrick,FA,CB,Ankle,Questionable,Subscribers Only
Micah Kiser,LV,LB,Leg,IR,Subscribers Only
Kader Kohou,MIA,CB,Oblique,Questionable,Subscribers Only
Charlie Kolar,BAL,TE,Sports Hernia,IR-R,Subscribers Only
J.J. Koski,LAR,WR,Shoulder,IR,Subscribers Only
Tommy Kraemer,DET,OG,Back,IR,Subscribers Only
Doug Kramer,CHI,C,Lower Leg,IR,Subscribers Only
Jake Kumerow,BUF,WR,Ankle,Questionable,Subscribers Only
Bruno Labelle,FA,TE,Undisclosed,Questionable,Subscribers Only
Dayan Lake,FA,CB,Undisclosed,Questionable,Subscribers Only
Quentin Lake,LAR,S,Knee,PUP-R,Subscribers Only
Forrest Lamp,FA,OG,Undisclosed,Questionable,Subscribers Only
Tyler Lancaster,FA,DE,Undisclosed,Questionable,Subscribers Only
Trey Lance,SF,QB,Ankle,IR,Subscribers Only
Harold Landry,TEN,LB,Knee - ACL,IR,Subscribers Only
Jarvis Landry,NO,WR,Ankle,Questionable,Subscribers Only
Ted Larsen,FA,OG,Knee,Questionable,Subscribers Only
Cody Latimer,FA,WR,Personal,Reserve-CEL,Subscribers Only
Marshon Lattimore,NO,CB,Abdomen,Questionable,Subscribers Only
Nolan Laufenberg,FA,OG,Undisclosed,Out,Subscribers Only
Rashard Lawrence,ARI,DT,Shoulder,Questionable,Subscribers Only
Allen Lazard,GB,WR,Shoulder,Questionable,Subscribers Only
DeMarvin Leal,PIT,DE,Knee,IR,Subscribers Only
Alex Leatherwood,CHI,OG,Illness,NFI-R,Subscribers Only
Cre'von LeBlanc,FA,CB,Undisclosed,Questionable,Subscribers Only
Darron Lee,FA,LB,Undisclosed,Questionable,Subscribers Only
Shane Lemieux,NYG,OG,Foot,IR,Subscribers Only
Lance Lenoir,FA,WR,Undisclosed,Questionable,Subscribers Only
Shaquille Leonard,IND,LB,Nose,Questionable,Subscribers Only
Taylor Lewan,TEN,OT,Knee,IR,Subscribers Only
Donnie Lewis,FA,CB,Undisclosed,Questionable,Subscribers Only
Jourdan Lewis,DAL,CB,Foot,IR,Subscribers Only
Tommylee Lewis,FA,WR,Hip,Questionable,Subscribers Only
Zane Lewis,FA,S,Undisclosed,Questionable,Subscribers Only
Damon Lloyd,LAC,LB,Undisclosed,IR,Subscribers Only
Greg Long,FA,OT,Undisclosed,Questionable,Subscribers Only
Bryce Love,FA,RB,Knee,Questionable,Subscribers Only
John Lovett,MIA,FB,Undisclosed,IR,Subscribers Only
Jordan Lucas,FA,S,Knee,Questionable,Subscribers Only
Alize Mack,FA,TE,Undisclosed,Questionable,Subscribers Only
Austin Mack,FA,WR,Hamstring,Questionable,Subscribers Only
Ledarius Mack,FA,LB,Undisclosed,Questionable,Subscribers Only
Cole Madison,FA,OG,Knee - ACL,Questionable,Subscribers Only
Kyle Markway,FA,TE,Undisclosed,Questionable,Subscribers Only
Cassius Marsh,FA,LB,Knee,Questionable,Subscribers Only
Justin Martin,FA,CB,Knee,Questionable,Subscribers Only
Kamal Martin,FA,LB,Undisclosed,Questionable,Subscribers Only
Marcus Martin,FA,C,Undisclosed,Questionable,Subscribers Only
Shaq Mason,TB,OG,Ankle,Questionable,Subscribers Only
Bobby Massie,FA,OT,Concussion,Questionable,Subscribers Only
Phidarian Mathis,WAS,DT,Knee - Meniscus,IR,Subscribers Only
Jordan Matthews,SF,TE,Knee - ACL,IR,Subscribers Only
Baker Mayfield,CAR,QB,Ankle,Questionable,Subscribers Only
Jalen Mayfield,ATL,OG,Back,IR,Subscribers Only
Cole Mazza,FA,C,Shoulder,Questionable,Subscribers Only
Tyreik McAllister,FA,RB,Hamstring,Questionable,Subscribers Only
Tucker McCann,FA,K,Undisclosed,Questionable,Subscribers Only
Sincere McCormick,LV,RB,Undisclosed,IR,Subscribers Only
Gerald McCoy,FA,DT,Knee,Questionable,Subscribers Only
Trent McDuffie,KC,CB,Hamstring,IR-R,Subscribers Only
