player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,week,year
Tom Brady,698,QB,TB,1,80.0,40,42,6.1,2.17,0,0,0.0,73.8,31,0,8,3.1,45,1,15,30,80.6,68.6,66.7,64.7,0,0,50,0,37.5,98.5,6.7,3,0,0,2,1,0,0.0,272,6.5,3,2022
Jared Goff,10635,QB,DET,1,70.3,37,41,9.3,2.81,0,0,0.0,61.0,25,0,14,3.8,43,1,14,11,79.8,64.2,64.8,54.2,0,1,45,0,0.0,79.0,0.0,0,2,1,3,1,2,4.4,277,6.8,3,2022
Kirk Cousins,7102,QB,MIN,1,71.4,35,41,8.5,2.79,1,1,2.2,58.5,24,0,14,4.0,42,1,16,18,80.2,76.6,75.0,60.0,2,0,47,0,7.1,93.5,2.4,1,0,1,2,2,0,0.0,260,6.3,3,2022
Jameis Winston,9434,QB,NO,1,74.3,35,41,13.1,2.52,2,3,6.7,61.0,25,0,13,3.8,42,1,14,20,30.0,67.6,71.6,60.0,1,2,46,0,7.7,76.6,2.4,1,0,0,3,1,2,4.3,353,8.6,3,2022
Trevor Lawrence,77632,QB,JAX,1,78.4,37,39,5.6,2.28,1,2,5.0,71.8,28,0,9,3.4,40,1,16,15,79.6,77.4,76.0,62.5,1,0,41,0,0.0,115.5,0.0,0,1,0,0,3,1,2.4,262,6.7,3,2022
Daniel Jones,39395,QB,NYG,1,77.4,31,37,6.5,3.37,1,2,4.9,54.1,20,0,27,16.7,49,4,13,21,81.2,64.5,59.7,75.6,0,1,54,2,18.5,57.9,10.2,5,7,0,5,0,2,3.7,196,5.3,3,2022
Matt Ryan,4317,QB,IND,1,85.3,34,37,4.9,2.48,0,0,0.0,73.0,27,0,12,6.9,43,2,12,14,22.6,56.1,54.8,62.8,1,0,45,0,41.7,105.9,11.6,5,1,0,2,2,2,4.4,222,6.0,3,2022
Joe Burrow,28022,QB,CIN,1,73.5,34,36,9.0,2.69,0,3,7.9,63.9,23,0,13,8.0,39,2,12,7,80.0,71.9,75.5,58.6,1,0,41,2,15.4,114.9,5.1,2,1,0,1,3,3,7.3,275,7.6,3,2022
Patrick Mahomes,11765,QB,KC,1,75.9,29,35,8.1,3.09,1,1,2.6,57.1,20,0,14,9.1,42,2,15,16,79.9,77.7,72.4,77.4,0,1,46,0,7.1,78.5,2.4,1,4,0,5,1,0,0.0,262,7.5,3,2022
Aaron Rodgers,2241,QB,GB,1,82.4,34,35,5.4,2.4,0,1,2.8,77.1,27,0,11,3.6,36,1,11,12,78.8,70.3,69.1,60.0,0,1,37,1,9.1,103.9,2.8,1,0,0,1,2,1,2.7,255,7.3,3,2022
