player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year
Cole Kmet,60995,TE,CHI,1,0,6,70.2,0,0,1,5.9,5.6,100.0,0,0,0,1,18,,0,0,0,0.0,0.0,,0,0,0,10,1,2022
Trent Scott,24481,T,PIT,1,0,25,68.3,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0,1,2022
Cade Otton,61071,TE,TB,1,0,30,66.3,0,0,1,20.0,20.0,100.0,0,0,0,1,5,,0,0,0,,,,0,0,0,0,1,2022
Johnny Mundt,12206,TE,MIN,1,0,18,69.7,0,0,1,5.9,5.9,100.0,0,0,0,1,17,,0,0,0,0.0,0.0,,0,0,0,5,1,2022
Troy Hairston II,65088,FB,HST,1,0,13,73.4,0,0,1,20.0,16.7,100.0,0,0,0,1,6,,0,0,0,,,,0,0,0,0,1,2022
Robert Tonyan,12193,TE,GB,1,0,12,70.2,0,0,1,5.0,5.0,100.0,0,0,0,1,20,70.2,0,0,1,11.1,11.1,100.0,0,0,1,9,1,2022
Rodney Hudson,6207,C,ARZ,1,0,1,74.5,0,1,52,100.0,100.0,99.0,0,1,0,60,60,63.6,0,1,13,100.0,100.0,96.2,1,0,18,18,2,2022
Kelvin Beachum,7229,T,ARZ,1,0,1,61.9,1,2,52,100.0,100.0,95.2,2,4,1,60,60,34.6,1,1,13,100.0,100.0,84.6,3,1,18,18,2,2022
D.J. Humphries,9457,T,ARZ,1,0,1,88.0,1,0,52,100.0,100.0,99.0,0,1,0,60,60,86.3,0,0,13,100.0,100.0,100.0,0,0,18,18,2,2022
Will Hernandez,46180,G,ARZ,1,0,1,82.3,0,0,52,100.0,100.0,100.0,0,0,0,60,60,69.7,0,0,13,100.0,100.0,100.0,0,0,18,18,2,2022
